"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Sudoeste Paraense";"DIM_ECONOMICA";43,973;7;1;"1503606,1501006,1504455,1506195,1500602,1508357,1508159"
"Sudoeste Paraense";"DIM_SOCIAL";43,2008571428571;7;1;"1503606,1501006,1504455,1506195,1500602,1508357,1508159"
"Metropolitana de Belém";"DIM_AMBIENTAL";59,5345238095238;7;1;"1503408,1501501,1500800,1501402,1501303,1501907,1507003"
"Metropolitana de Belém";"DIM_ECONOMICA";52,7128571428571;7;1;"1503408,1501501,1500800,1501402,1501303,1501907,1507003"
"Metropolitana de Belém";"DIM_SOCIAL";53,8902857142857;7;1;"1503408,1501501,1500800,1501402,1501303,1501907,1507003"
"Nordeste Paraense";"DIM_AMBIENTAL";48,2859259259259;9;1;"1501709,1504059,1507466,1502202,1501956,1503200,1502756,1501204,1502301"
"Nordeste Paraense";"DIM_ECONOMICA";42,1831111111111;9;1;"1501709,1504059,1507466,1502202,1501956,1503200,1502756,1501204,1502301"
"Nordeste Paraense";"DIM_SOCIAL";46,7135555555556;9;1;"1501709,1504059,1507466,1502202,1501956,1503200,1502756,1501204,1502301"
"Sudeste Paraense";"DIM_AMBIENTAL";42,0009259259259;9;1;"1506161,1505551,1504208,1505635,1501782,1502772,1503705,1501576,1502764"
"Sudeste Paraense";"DIM_ECONOMICA";50,5524444444444;9;1;"1506161,1505551,1504208,1505635,1501782,1502772,1503705,1501576,1502764"
"Sudeste Paraense";"DIM_SOCIAL";45,1528888888889;9;1;"1506161,1505551,1504208,1505635,1501782,1502772,1503705,1501576,1502764"
"Marajó";"DIM_AMBIENTAL";48,3855555555556;9;1;"1501105,1506302,1507706,1502509,1505700,1507904,1505809,1500701,1504505"
"Marajó";"DIM_ECONOMICA";38,5784444444444;9;1;"1501105,1506302,1507706,1502509,1505700,1507904,1505809,1500701,1504505"
"Marajó";"DIM_SOCIAL";38,1537777777778;9;1;"1501105,1506302,1507706,1502509,1505700,1507904,1505809,1500701,1504505"
"Baixo Amazonas";"DIM_AMBIENTAL";44,3183333333333;9;1;"1503903,1505304,1505908,1503002,1507979,1501451,1502855,1506807,1505650"
"Baixo Amazonas";"DIM_ECONOMICA";42,264;9;1;"1503903,1505304,1505908,1503002,1507979,1501451,1502855,1506807,1505650"
"Baixo Amazonas";"DIM_SOCIAL";43,5853333333333;9;1;"1503903,1505304,1505908,1503002,1507979,1501451,1502855,1506807,1505650"
"Sudoeste Paraense";"DIM_AMBIENTAL";45,5055555555556;9;1;"1500602,1508159,1505031,1508357,1507805,1504455,1503606,1506195,1501006"
"Sudoeste Paraense";"DIM_ECONOMICA";44,9203333333333;9;1;"1500602,1508159,1505031,1508357,1507805,1504455,1503606,1506195,1501006"
"Sudoeste Paraense";"DIM_SOCIAL";43,5497777777778;9;1;"1500602,1508159,1505031,1508357,1507805,1504455,1503606,1506195,1501006"
"Metropolitana de Belém";"DIM_AMBIENTAL";60,6268518518519;9;1;"1501402,1501907,1502400,1501303,1507003,1501501,1504422,1503408,1506351"
"Metropolitana de Belém";"DIM_ECONOMICA";53,5571111111111;9;1;"1501402,1501907,1502400,1501303,1507003,1501501,1504422,1503408,1506351"
"Metropolitana de Belém";"DIM_SOCIAL";53,8131111111111;9;1;"1501402,1501907,1502400,1501303,1507003,1501501,1504422,1503408,1506351"
"Nordeste Paraense";"DIM_AMBIENTAL";58,1272222222222;3;2;"1502202,1504109,1508001"
"Nordeste Paraense";"DIM_ECONOMICA";49,229;3;2;"1502202,1504109,1508001"
"Nordeste Paraense";"DIM_SOCIAL";55,6493333333333;3;2;"1502202,1504109,1508001"
"Sudeste Paraense";"DIM_AMBIENTAL";50,7544444444444;3;2;"1506583,1502152,1503804"
"Sudeste Paraense";"DIM_ECONOMICA";53,722;3;2;"1506583,1502152,1503804"
"Sudeste Paraense";"DIM_SOCIAL";50,5093333333333;3;2;"1506583,1502152,1503804"
"Marajó";"DIM_AMBIENTAL";47,1066666666667;3;2;"1506401,1502004,1504505"
"Marajó";"DIM_ECONOMICA";40,874;3;2;"1506401,1502004,1504505"
"Marajó";"DIM_SOCIAL";38,2886666666667;3;2;"1506401,1502004,1504505"
"Baixo Amazonas";"DIM_AMBIENTAL";38,1044444444444;3;2;"1505304,1501451,1505650"
"Baixo Amazonas";"DIM_ECONOMICA";42,4076666666667;3;2;"1505304,1501451,1505650"
"Baixo Amazonas";"DIM_SOCIAL";39,732;3;2;"1505304,1501451,1505650"
"Sudoeste Paraense";"DIM_AMBIENTAL";38,3755555555556;3;2;"1507805,1503754,1505486"
