Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2020,Incremento20192020,Floresta2020,Nuvem2020,NaoObservado2020,NaoFloresta2020,Hidrografia2020,Soma 
 66,-1.16917,-47.40530,S 1 10 9.01,O 47 24 19.08,Nova Timboteua,1505007,PA,492,379.2,0.1,89.3,0.0,0.0,19.5,4.0,99
 67,-5.01264,-49.20524,S 5 0 45.50,O 49 12 18.86,Nova Ipixuna,1504976,PA,1569,1176.0,6.1,176.6,0.0,0.0,122.6,93.8,100
 68,-2.39441,-46.79100,S 2 23 39.88,O 46 47 27.60,Nova Esperança do Piriá,1504950,PA,2829,1584.0,7.8,1233.9,11.1,0.0,0.0,0.0,100
 69,-1.31435,-49.34437,S 1 18 51.66,O 49 20 39.73,Muaná,1504901,PA,3776,100.9,0.1,1806.9,21.2,0.0,1361.3,485.7,99
 70,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4410.5,54.8,11768.9,397.5,0.0,1799.4,1139.7,100
 71,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4494.8,36.5,4388.2,0.0,0.0,190.4,55.6,100
 72,-2.54950,-49.35737,S 2 32 58.20,O 49 21 26.53,Mocajuba,1504604,PA,872,493.8,0.1,135.1,0.0,0.0,168.2,74.9,100
 73,-1.53536,-51.06862,S 1 32 7.30,O 51 4 7.03,Melgaço,1504505,PA,6781,170.5,2.2,5909.2,8.6,0.0,166.3,526.4,99
 74,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2431.8,64.5,5817.5,21.9,0.0,0.0,0.8,100
 75,-1.39704,-48.32114,S 1 23 49.34,O 48 19 16.10,Marituba,1504422,PA,103,66.0,0.0,29.8,0.0,0.0,0.0,7.2,99
 76,-0.80045,-47.75464,S 0 48 1.62,O 47 45 16.70,Marapanim,1504406,PA,795,405.0,0.7,299.4,0.1,0.0,41.6,48.9,99
 77,-0.80608,-47.47954,S 0 48 21.89,O 47 28 46.34,Maracanã,1504307,PA,860,332.1,0.9,372.7,0.6,0.0,33.2,121.4,100
 78,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8853.4,58.7,6185.4,0.0,0.0,36.2,86.0,100
 79,-0.82105,-47.63978,S 0 49 15.78,O 47 38 23.21,Magalhães Barata,1504109,PA,326,165.7,1.7,130.3,0.1,0.0,2.3,27.6,100
 80,-1.98969,-47.50665,S 1 59 22.88,O 47 30 23.94,Mãe do Rio,1504059,PA,471,450.1,0.2,19.5,0.0,0.0,0.0,1.4,100
 81,-1.88563,-49.49551,S 1 53 8.27,O 49 29 43.84,Limoeiro do Ajuru,1504000,PA,1494,62.3,0.2,873.0,0.0,0.0,50.9,507.8,100
 82,-2.64774,-56.23691,S 2 38 51.86,O 56 14 12.88,Juruti,1503903,PA,8308,1230.8,9.3,5316.4,18.5,0.0,633.3,1109.0,99
 83,-4.59252,-49.20947,S 4 35 33.07,O 49 12 34.09,Jacundá,1503804,PA,2013,1485.7,3.7,263.0,0.0,0.0,0.0,264.3,100
 84,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1782.9,89.0,45690.9,0.5,0.0,5213.2,709.5,100
 85,-5.07669,-49.89878,S 5 4 36.08,O 49 53 55.61,Itupiranga,1503705,PA,7901,4981.7,33.4,2801.8,0.0,0.0,5.6,111.9,99
 86,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,6107.3,273.0,54696.1,20.5,0.0,460.8,810.3,99
 87,-1.83573,-47.39886,S 1 50 8.63,O 47 23 55.90,Irituia,1503507,PA,1387,1217.2,0.5,149.3,0.0,0.0,17.2,3.3,100
 88,-2.93713,-47.96702,S 2 56 13.67,O 47 58 1.27,Ipixuna do Pará,1503457,PA,5245,2817.3,23.4,2377.6,17.5,0.0,6.7,25.9,99
 89,-1.45522,-47.89865,S 1 27 18.79,O 47 53 55.14,Inhangapi,1503408,PA,476,328.2,0.3,115.8,0.0,0.0,6.8,25.2,100
 90,-2.07583,-49.08754,S 2 4 32.99,O 49 5 15.14,Igarapé-Miri,1503309,PA,2004,484.2,1.1,994.4,0.3,0.0,203.3,321.8,99
 91,-1.17423,-47.57619,S 1 10 27.23,O 47 34 34.28,Igarapé-Açu,1503200,PA,789,688.7,0.2,93.1,0.0,0.0,6.0,1.2,100
 92,-1.12099,-51.49156,S 1 7 15.56,O 51 29 29.62,Gurupá,1503101,PA,8550,127.7,3.8,6325.3,282.6,0.0,517.1,1297.3,100
 93,-4.01828,-48.73253,S 4 1 5.81,O 48 43 57.11,Goianésia do Pará,1503093,PA,7048,3977.8,40.1,2588.9,0.0,0.0,0.0,481.3,99
 94,-2.22129,-47.08493,S 2 13 16.64,O 47 5 5.75,Garrafão do Norte,1503077,PA,1610,1438.3,0.9,171.7,0.0,0.0,0.0,0.0,100
 95,-7.55246,-49.60538,S 7 33 8.86,O 49 36 19.37,Floresta do Araguaia,1503044,PA,3454,1927.5,2.4,303.4,0.0,0.0,1177.7,45.4,99
 96,-1.10869,-57.80093,S 1 6 31.28,O 57 48 3.35,Faro,1503002,PA,11794,252.1,1.2,10623.5,649.7,0.0,87.6,181.1,100
 97,-6.12012,-49.26085,S 6 7 12.43,O 49 15 39.06,Eldorado dos Carajás,1502954,PA,2968,2761.2,2.9,206.8,0.0,0.0,0.0,0.0,100
