datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TOME-ACU,Amazonia,5,0.1,1,-2.779,-48.192,13.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,9,0.8,1,-2.706,-46.785,17.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,8,0.7,0.9,-2.704,-46.773,36.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,7,0,1,-2.755,-46.71,18
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,8,0.9,1,-2.696,-46.786,29
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,7,0.8,1,-2.694,-46.774,44.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,4,9.2,0.2,-2.685,-48.869,14.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,RIO MARIA,Amazonia,22,0,1,-7.104,-49.32,61.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,17,0,1,-6.403,-52.701,178.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,18,0,1,-6.402,-52.708,133.1
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,20,0,1,-6.394,-51.785,58.2
