datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,17,0,0.7,-5.43,-51.344,94
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,19,0,0.8,-5.387,-50.9,43.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MARABA,Amazonia,5,0,0.9,-5.316,-50.712,28.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ITUPIRANGA,Amazonia,22,0,1,-5.349,-49.464,41.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ITUPIRANGA,Amazonia,20,0.1,1,-5.336,-49.466,42.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MARABA,Amazonia,5,0,1,-5.317,-50.717,32.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ITUPIRANGA,Amazonia,19,0.5,0.9,-5.225,-50.153,40.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ANAPU,Amazonia,12,0,0.8,-5.003,-50.861,23.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,BOM JESUS DO TOCANTINS,Amazonia,20,0.1,1,-4.953,-48.548,16.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,BOM JESUS DO TOCANTINS,Amazonia,20,0.1,1,-4.956,-48.567,28.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ABEL FIGUEIREDO,Amazonia,20,0.1,1,-4.936,-48.514,265.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ABEL FIGUEIREDO,Amazonia,20,0,1,-4.934,-48.496,64.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,AGUA AZUL DO NORTE,Amazonia,21,0,1,-6.872,-50.434,52.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,5,1.8,0.9,-6.84,-52.178,93
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,7,6.1,0.5,-6.838,-52.574,81.1
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,5,2.2,0.8,-6.836,-52.141,374
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,7,5.8,0.6,-6.837,-52.578,84.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,OURILANDIA DO NORTE,Amazonia,20,0,1,-6.834,-50.849,157.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,5,2.1,0.9,-6.827,-52.172,224.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TUCUMA,Amazonia,7,0,1,-6.809,-51.676,103.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,5,2.9,0.8,-6.822,-52.135,316.5
